ID,N_RequisitoOriginal,Nombre_criterio,MunEst,Ley_Reglemento,Nombre,Artículo,Fracción y/o Inciso
12,Cumplir con todos los requisitos,cumplir con todos los requisitos,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,
13,Cumplir con los requisitos correspondientes,cumplir con los requisitos correspondientes,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,
14,Cumplir con todos los requisitos,cumplir con todos los requisitos,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",314,
15,Cumplir con los requisitos solicitados.,cumplir con los requisitos solicitados.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",314,
16,Cumplir con todos los requisitos,cumplir con todos los requisitos,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,
17,"• El fraccionamiento y la urbanización del suelo deberán cumplir con lo dispuesto en los planes, leyes y reglamentos de desarrollo urbano, asentamientos humanos y ordenamiento territorial aplicables, además de lo que determinen las disposiciones de carácter general que expida la autoridad municipal correspondiente","el fraccionamiento y la urbanización del suelo deberán cumplir con lo dispuesto en los planes, leyes y reglamentos de desarrollo urbano, asentamientos humanos y ordenamiento territorial aplicables, además de lo que determinen las disposiciones de carácter general que expida la autoridad municipal correspondiente",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",280,
18,Presentar documentación completa,presentar documentación completa,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",280,
19,• Es necesario estar al corriente con el pago del impuesto predial,es necesario estar al corriente con el pago del impuesto predial,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",262,
20,• Presentar documentación completa,presentar documentación completa,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",262,
21,Cumplir con todos los requisitos,cumplir con todos los requisitos,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,
22,Cumplir con todos los requisitos solicitados.,cumplir con todos los requisitos solicitados.,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",308,
23,Cumplir con todos los requisitos,cumplir con todos los requisitos,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",308,
24,Cumplir con todos los requisitos solicitados,cumplir con todos los requisitos solicitados,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",308,ll
25,• Es necesario estar al corriente con el pago del impuesto predial,es necesario estar al corriente con el pago del impuesto predial,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",314,
26,• Presentar documentación completa,presentar documentación completa,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",314,
27,• Es necesario estar al corriente con el pago del impuesto predial,es necesario estar al corriente con el pago del impuesto predial,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,
28,Presentar documentación completa,presentar documentación completa,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,
29,• Es necesario estar al corriente con el pago del impuesto predial,es necesario estar al corriente con el pago del impuesto predial,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,
30,• Presentar documentación completa,presentar documentación completa,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",316,
31,• Debe estar acorde con los lineamientos y factibilidad del Plan Municipal de Desarrollo,debe estar acorde con los lineamientos y factibilidad del plan municipal de desarrollo,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",312,
32,• El uso de suelo solicitado no debe de estar en actividad al momento de ingresar el trámite,el uso de suelo solicitado no debe de estar en actividad al momento de ingresar el trámite,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",312,
33,• Es necesario estar al corriente con el pago del impuesto predial,es necesario estar al corriente con el pago del impuesto predial,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",312,
34,Presentar documentación completa,presentar documentación completa,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",312,
35,Cumplir con todos los requisitos,cumplir con todos los requisitos,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,
36,• Presentar documentación completa,presentar documentación completa,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",263,
37,• Presentar documentación completa,presentar documentación completa,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",260,
38,• Contar con el numero de expediente catastral.,contar con el numero de expediente catastral.,Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 8,
39,Cumplir con todos los requisitos,cumplir con todos los requisitos,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,
40,"• El fraccionamiento y la urbanización del suelo deberán cumplir con lo dispuesto en los planes, leyes y reglamentos de desarrollo urbano, asentamientos humanos y ordenamiento territorial aplicables, además de lo que determinen las disposiciones de carácter general que expida la autoridad municipal correspondiente","el fraccionamiento y la urbanización del suelo deberán cumplir con lo dispuesto en los planes, leyes y reglamentos de desarrollo urbano, asentamientos humanos y ordenamiento territorial aplicables, además de lo que determinen las disposiciones de carácter general que expida la autoridad municipal correspondiente",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",197,
41,• Presentar documentación completa,presentar documentación completa,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",197,
42,Cumplir con los requisitos solicitados,cumplir con los requisitos solicitados,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",314,
43,Presentar documentación completa,presentar documentación completa,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",277,
44,Cumplir con todos los requisitos,cumplir con todos los requisitos,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,
45,Cumplir con todos los requisitos,cumplir con todos los requisitos,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,
46,Cumplir con los requisitos solicitados,cumplir con los requisitos solicitados,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",319,
47,• Es necesario estar al corriente con el pago del impuesto predial,es necesario estar al corriente con el pago del impuesto predial,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",308,VII
48,Presentar documentación completa,presentar documentación completa,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",308,VII
49,Cumplir con todos los requisitos,cumplir con todos los requisitos,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,
50,Se deberá cumplir con todos los requisitos,se deberá cumplir con todos los requisitos,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",314,
51,Cumplir con los requisitos solicitado,cumplir con los requisitos solicitado,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",308,
52,"• El fraccionamiento y la urbanización del suelo deberán cumplir con lo dispuesto en los planes, leyes y reglamentos de desarrollo urbano, asentamientos humanos y ordenamiento territorial aplicables, además de lo que determinen las disposiciones de carácter general que expida la autoridad municipal correspondiente","el fraccionamiento y la urbanización del suelo deberán cumplir con lo dispuesto en los planes, leyes y reglamentos de desarrollo urbano, asentamientos humanos y ordenamiento territorial aplicables, además de lo que determinen las disposiciones de carácter general que expida la autoridad municipal correspondiente",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",400,
53,Presentar documentación completa,presentar documentación completa,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",400,
54,Cumplir con todos los requisitos,cumplir con todos los requisitos,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,
55,Cumplir con todos los requisitos,cumplir con todos los requisitos,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,
56,Presentar documentación completa,presentar documentación completa,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",264,
57,"Debidamente integrado el procedimiento administrativo, se dicta la resolución conforme a las disposiciones legales aplicables.","debidamente integrado el procedimiento administrativo, se dicta la resolución conforme a las disposiciones legales aplicables.",Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",423,
58,• La información presentada por el contratista será validada por la Dirección a cargo para resolver el trámite.,la información presentada por el contratista será validada por la dirección a cargo para resolver el trámite.,Estatal,Ley,Ley de Obras Públicas para el Estado y Municipios de Nuevo León.,23 BIS 3,
59,Presentar la documentación respectiva para alimentar la información que debe contener el registro de contratistas,presentar la documentación respectiva para alimentar la información que debe contener el registro de contratistas,Estatal,Ley,Ley de Obras Públicas para el Estado y Municipios de Nuevo León.,23 BIS 3,
60,Cumplir con todos los requisitos,cumplir con todos los requisitos,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",296,
61,"• Hacer llamada telefónica, mediante redes sociales autorizadas o acudir a las oficinas del departamento de lotes baldíos, mencionar la ubicación del terreno (calle, entre calles y colonia) y datos de quien reporta (opcional), se levanta el reporte y se le da un número de folio","hacer llamada telefónica, mediante redes sociales autorizadas o acudir a las oficinas del departamento de lotes baldíos, mencionar la ubicación del terreno (calle, entre calles y colonia) y datos de quien reporta (opcional), se levanta el reporte y se le da un número de folio",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,65,
62,• Posteriormente se le notifica al propietario del lote reportado mediante un requerimiento y se realiza una inspección.,posteriormente se le notifica al propietario del lote reportado mediante un requerimiento y se realiza una inspección.,Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,65,
63,"Los tipos de respuesta pueden ser los siguientes:
• Notoria Incompetencia
• Información Confidencial
• Información Reservada
• Solicitud improcedente: Cuando no es propiamente una solicitud de información, por ejemplo puede ser un derecho de petición.
• Información Inexistente
• Información Pública Gubernamental: aquella información que ya se encuentra publicada en nuestro portal electrónico municipal.
• Entrega de Información vía PNT: cuando se entrega la respuesta en un archivo adjunto (PDF, docs., xlsx, txt, Zip, etc.).
• Información Disponible: Cuando la información sea entregada de forma presencial, tal como copias, discos compactos, entre otros.
• Información parcialmente Disponible: como lo indica el punto anterior, pero la entrega de la información en esa modalidad sea parcial.
• Consulta Directa: cuando se pone a disposición del solicitante la documentación en las oficinas del sujetos obligado competente para su consulta.","los tipos de respuesta pueden ser los siguientes:
notoria incompetencia
información confidencial
información reservada
solicitud improcedente: cuando no es propiamente una solicitud de información, por ejemplo puede ser un derecho de petición.
información inexistente
información pública gubernamental: aquella información que ya se encuentra publicada en nuestro portal electrónico municipal.
entrega de información vía pnt: cuando se entrega la respuesta en un archivo adjunto (pdf, docs., xlsx, txt, zip, etc.).
información disponible: cuando la información sea entregada de forma presencial, tal como copias, discos compactos, entre otros.
información parcialmente disponible: como lo indica el punto anterior, pero la entrega de la información en esa modalidad sea parcial.
consulta directa: cuando se pone a disposición del solicitante la documentación en las oficinas del sujetos obligado competente para su consulta.",Estatal,Ley,Ley de Protección de Datos Personales en posesión de sujetos obligados del Estado de Nuevo León,"3, 138, 139, 140, 141, 142, 143, 144, 145, 146, 152, 153, 154, 155, 158 y 166",
64,"Los tipos de respuesta pueden ser los siguientes:
• Prevención
• Notoria incompetencia
• Información inexistente
• Entrega de Información vía PNT: Cuando se va a entregar la respuesta en un archivo adjunto (PDF, docx, xlsx, txt, Zip, etc.).
• Información Disponible: Cuando la información se vaya a entregar de forma presencial, como copias, discos compactos, entre otros.
• Información parcialmente disponible: Cuando la información se vaya a entregar de forma presencial, como copias, discos compactos, entre otros. Pero parcialmente.","los tipos de respuesta pueden ser los siguientes:
prevención
notoria incompetencia
información inexistente
entrega de información vía pnt: cuando se va a entregar la respuesta en un archivo adjunto (pdf, docx, xlsx, txt, zip, etc.).
información disponible: cuando la información se vaya a entregar de forma presencial, como copias, discos compactos, entre otros.
información parcialmente disponible: cuando la información se vaya a entregar de forma presencial, como copias, discos compactos, entre otros. pero parcialmente.",Estatal,Ley,Ley de Protección de Datos Personales en posesión de sujetos obligados del Estado de Nuevo León,63 y 64,
65,Cumplir con todos los requisitos,cumplir con todos los requisitos,Estatal,Ley,"Ley de Asentamientos Humanos, Ordenamiento Territorial y Desarrollo Urbano para el Estado de Nuevo León",400,
66,"En todos los casos se deberá:
• Contar con una sola propiedad en el Estado de Nuevo León a nombre del titular y su cónyuge en caso de ser casado (a). En el caso de orfandad, los nombres de los padres son los que prevalecen.
Los requisitos anteriores, en original y copia, deben presentarse para cotejar en la oficina de Impuesto Predial, ubicada en Palacio Municipal, Tercer Piso o en la Delegación de su preferencia. En un plazo no mayor a 20 días hábiles, el contribuyente podrá verificar por vía telefónica o presencial si fue aprobada la tarifa única especial y en su caso realizar el pago correspondiente.
Los impuestos que se determinan para el pago de la tarifa única especial, son conforme a lo dispuesto en la Ley de Hacienda para los Municipios del Estado de Nuevo León.","en todos los casos se deberá:
contar con una sola propiedad en el estado de nuevo león a nombre del titular y su cónyuge en caso de ser casado (a). en el caso de orfandad, los nombres de los padres son los que prevalecen.
los requisitos anteriores, en original y copia, deben presentarse para cotejar en la oficina de impuesto predial, ubicada en palacio municipal, tercer piso o en la delegación de su preferencia. en un plazo no mayor a 20 días hábiles, el contribuyente podrá verificar por vía telefónica o presencial si fue aprobada la tarifa única especial y en su caso realizar el pago correspondiente.
los impuestos que se determinan para el pago de la tarifa única especial, son conforme a lo dispuesto en la ley de hacienda para los municipios del estado de nuevo león.",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,
67,"• Que el valor catastral no exceda de $1,415,204","que el valor catastral no exceda de $1,415,204",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,
68,"Que el valor catastral no exceda de $1,415,204","que el valor catastral no exceda de $1,415,204",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,
69,"Que el valor catastral no exceda de $1,415,204","que el valor catastral no exceda de $1,415,204",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,IV
70,"Que el valor catastral no exceda de $1,415,204","que el valor catastral no exceda de $1,415,204",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,
71,"Que el valor catastral no exceda de $1,415,204","que el valor catastral no exceda de $1,415,204",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,
72,"Que el valor catastral no exceda de $1,415,204","que el valor catastral no exceda de $1,415,204",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,
73,"Que el valor catastral no exceda de $1,415,204","que el valor catastral no exceda de $1,415,204",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,
74,"Que el valor catastral no exceda de $980,289","que el valor catastral no exceda de $980,289",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,
75,"TARIFA ÚNICA ESPECIAL A JUBILADOS O PENSIONADOS
REQUISITOS:
Para el trámite que solicita es indispensable acudir la(s) persona(s) interesada(s) y cumplir con los siguientes requisitos:
• Que la propiedad esté a nombre del solicitante.","tarifa única especial a jubilados o pensionados
requisitos:
para el trámite que solicita es indispensable acudir la(s) persona(s) interesada(s) y cumplir con los siguientes requisitos:
que la propiedad esté a nombre del solicitante.",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,"VIII, e)"
76,"TARIFA ÚNICA ESPECIAL A MUJERES DIVORCIADAS
REQUISITOS:
Para el trámite que solicita es indispensable acudir la(s) persona(s) interesadas(s) y cumplir con los siguientes requisitos:
• Que la propiedad esté al nombre de la solicitante.","tarifa única especial a mujeres divorciadas
requisitos:
para el trámite que solicita es indispensable acudir la(s) persona(s) interesadas(s) y cumplir con los siguientes requisitos:
que la propiedad esté al nombre de la solicitante.",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,
77,"TARIFA ÚNICA ESPECIAL A MUJERES SOLTERAS
REQUISITOS:
Para el trámite que solicita es indispensable acudir la(s) persona(s) interesada(s) y cumplir con los siguientes requisitos:
• Que la propiedad esté al nombre de la solicitante.","tarifa única especial a mujeres solteras
requisitos:
para el trámite que solicita es indispensable acudir la(s) persona(s) interesada(s) y cumplir con los siguientes requisitos:
que la propiedad esté al nombre de la solicitante.",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,
78,"TARIFA ÚNICA ESPECIAL A MUJERES VIUDAS
REQUISITOS:
Para el trámite que solicita es indispensable acudir la(s) persona(s) interesada(s) y cumplir con los siguientes requisitos:
• Que la propiedad esté al nombre del solicitante, o del cónyuge finado.","tarifa única especial a mujeres viudas
requisitos:
para el trámite que solicita es indispensable acudir la(s) persona(s) interesada(s) y cumplir con los siguientes requisitos:
que la propiedad esté al nombre del solicitante, o del cónyuge finado.",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,
79,"TARIFA ÚNICA ESPECIAL A PERSONAS INCAPACITADAS FISICAMENTE PARA TRABAJAR
REQUISITOS:
Para el trámite que solicita es indispensable acudir la(s) persona(s) interesada(s) y cumplir con los siguientes requisitos:
• Que la propiedad esté a nombre del solicitante.","tarifa única especial a personas incapacitadas fisicamente para trabajar
requisitos:
para el trámite que solicita es indispensable acudir la(s) persona(s) interesada(s) y cumplir con los siguientes requisitos:
que la propiedad esté a nombre del solicitante.",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,
80,"TARIFA ÚNICA ESPECIAL PARA HÚERFANOS Y MENORES DE 18 AÑOS
REQUISITOS:
Para el trámite que solicita es indispensable acudir la(s) persona(s) interesadas(s) y cumplir con los siguientes requisitos:
• Que la propiedad esté al nombre del o los padres del solicitante.","tarifa única especial para húerfanos y menores de 18 años
requisitos:
para el trámite que solicita es indispensable acudir la(s) persona(s) interesadas(s) y cumplir con los siguientes requisitos:
que la propiedad esté al nombre del o los padres del solicitante.",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,
81,"TARIFA ÚNICA ESPECIAL PARA PERSONAS CON PREDIOS AFECTADOS AL PATRIMONIO FAMILIAR
REQUISITOS:
Para el trámite que solicita es indispensable acudir la(s) persona(s) interesadas(s) y cumplir con los siguientes requisitos:
• Que la propiedad esté al nombre del solicitante.","tarifa única especial para personas con predios afectados al patrimonio familiar
requisitos:
para el trámite que solicita es indispensable acudir la(s) persona(s) interesadas(s) y cumplir con los siguientes requisitos:
que la propiedad esté al nombre del solicitante.",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,
82,"TARIFA ÚNICA ESPECIAL PARA PREDIOS CON BAJO VALOR CATASTRAL
REQUISITOS:
Para el trámite que solicita es indispensable acudir la(s) persona(s) interesadas(s) y cumplir con los siguientes requisitos:
• Que la propiedad esté al nombre del solicitante.","tarifa única especial para predios con bajo valor catastral
requisitos:
para el trámite que solicita es indispensable acudir la(s) persona(s) interesadas(s) y cumplir con los siguientes requisitos:
que la propiedad esté al nombre del solicitante.",Estatal,Ley,Ley de Hacienda para los Municipios del Estado de Nuevo León.,21 bis 9,
83,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica,No aplica
84,• Contar con el pago del impuesto predial al corriente.,contar con el pago del impuesto predial al corriente.,No disponible,No disponible,No disponible,No disponible,No disponible
85,• Presentar documentación completa.,presentar documentación completa.,No disponible,No disponible,No disponible,No disponible,No disponible
86,• Debe comprobar la necesidad a través de un estudio socio económico.,debe comprobar la necesidad a través de un estudio socio económico.,No disponible,No disponible,No disponible,No disponible,No disponible
87,• Debe existir disponibilidad de recursos en el municipio.,debe existir disponibilidad de recursos en el municipio.,No disponible,No disponible,No disponible,No disponible,No disponible
88,• Debe ser habitante del municipio de Monterrey.,debe ser habitante del municipio de monterrey.,No disponible,No disponible,No disponible,No disponible,No disponible
89,"• No contar con servicios de Seguridad Social (IMSS, ISSTE, ISSSTELEON, etc.)","no contar con servicios de seguridad social (imss, isste, isssteleon, etc.)",No disponible,No disponible,No disponible,No disponible,No disponible
90,• Presentar la documentación completa.,presentar la documentación completa.,No disponible,No disponible,No disponible,No disponible,No disponible
91,Presentar el formato de solicitud de empleo lleno y sin errores.,presentar el formato de solicitud de empleo lleno y sin errores.,No disponible,No disponible,No disponible,No disponible,No disponible
92,• Debe ser habitante del municipio de Monterrey.,debe ser habitante del municipio de monterrey.,No disponible,No disponible,No disponible,No disponible,No disponible
93,Presentar la documentación completa.,presentar la documentación completa.,No disponible,No disponible,No disponible,No disponible,No disponible
94,presentar documentación completa,presentar documentación completa,No disponible,No disponible,No disponible,No disponible,No disponible
95,No aplica,no aplica,No disponible,No disponible,No disponible,No disponible,No disponible
96,No contar con adeudo con la Tesorería Municipal,no contar con adeudo con la tesorería municipal,No disponible,No disponible,No disponible,No disponible,No disponible
97,No contar con adeudos con la Tesorería Municipal,no contar con adeudos con la tesorería municipal,No disponible,No disponible,No disponible,No disponible,No disponible
98,• Es necesario estar al corriente con el pago del impuesto predial,es necesario estar al corriente con el pago del impuesto predial,No disponible,No disponible,No disponible,No disponible,No disponible
99,Presentar documentación completa,presentar documentación completa,No disponible,No disponible,No disponible,No disponible,No disponible
100,"• Si el predio mide mas de 1000 metros cuadrados, tendrá que traer el visto bueno de la SEMARNAT","si el predio mide mas de 1000 metros cuadrados, tendrá que traer el visto bueno de la semarnat",No disponible,No disponible,No disponible,No disponible,No disponible
101,• Debe existir disponibilidad de cupo.,debe existir disponibilidad de cupo.,No disponible,No disponible,No disponible,No disponible,No disponible
102,• Debe ser habitante del municipio de Monterrey.,debe ser habitante del municipio de monterrey.,No disponible,No disponible,No disponible,No disponible,No disponible
103,• Tener la edad establecida para el servicio.,tener la edad establecida para el servicio.,No disponible,No disponible,No disponible,No disponible,No disponible
104,• Debe existir una situación de vulnerabilidad hacia el menor de edad.,debe existir una situación de vulnerabilidad hacia el menor de edad.,No disponible,No disponible,No disponible,No disponible,No disponible
105,Debe ser habitante del municipio de Monterrey.,debe ser habitante del municipio de monterrey.,No disponible,No disponible,No disponible,No disponible,No disponible
106,• Presentar documentación completa.,presentar documentación completa.,No disponible,No disponible,No disponible,No disponible,No disponible
107,• Se realizara una inspección para verificar el avance de la obra y validar que esta sin terminar.,se realizara una inspección para verificar el avance de la obra y validar que esta sin terminar.,No disponible,No disponible,No disponible,No disponible,No disponible
