#,Nombre Requisito,Fed - Estatal - Municipal,Ley - reglamento,Nombre,Artículo,Fracción y/o Inciso
0,No aplica,No disponible,No aplica,No aplica,No aplica,No aplica
12,Cartilla de vacunación en menores de 15 años.,Federal,Reglamento,Reglamento de la Ley General de Salud en Materia de Protección Social en Salud,30,No aplica
13,Expediente médico.,Federal,Norma,"Norma Oficial Mexicana NOM-015-SSA3-2012, Para la Atención Integral a Personas con Discapacidad",5.4,No aplica
14,"De la niña o niño:
 Constancia que mencione que la niña (o) es apto para guardería.",Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad",8,No aplica
15,"De la niña o niño:
 Fotografías a color.",Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad",8,No aplica
16,"De la niña o niño:
 Acta de nacimiento.",Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,No aplica
17,"De la niña o niño:
 Constancia escolar.",Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,No aplica
18,"De la niña o niño:
 Recetas medicas actualizadas.",Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,No aplica
19,"Documento del padre, madre o tutor:
 Carta de trabajo.",Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,No aplica
20,"Documento del padre, madre o tutor:
 Comprobante de domicilio no mayor a dos meses de antigüedad.",Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,No aplica
21,"Documento del padre, madre o tutor:
 Credencial de elector.",Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,No aplica
22,"Documento del padre, madre o tutor:
 Fotografías a color.",Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,No aplica
23,"De la niña o niño:
 Cartilla de vacunación actualizada.",Federal,Reglamento,Reglamento de la Ley General de Salud en Materia de Protección Social en Salud,30,No aplica
24,"De la niña o niño:
 Expediente médico.",Federal,Norma,"Norma Oficial Mexicana NOM-015-SSA3-2012, Para la Atención Integral a Personas con Discapacidad",5.4,No aplica
25,"De la niña o niño:
 Tarjetón de rehabilitación actualizado.",Federal,Norma,"Norma Oficial Mexicana NOM-015-SSA3-2012, Para la Atención Integral a Personas con Discapacidad",5.4,No aplica
26,Cartilla de vacunación en menores de 15 años.,Federal,Reglamento,Reglamento de la Ley General de Salud en Materia de Protección Social en Salud,30,No aplica
27,Acta de nacimiento.,Federal,Norma,"Norma Oficial Mexicana NOM-015-SSA3-2012, Para la Atención Integral a Personas con Discapacidad",5.4,No aplica
28,Comprobante de domicilio no mayor a dos meses de antigüedad.,Federal,Norma,"Norma Oficial Mexicana NOM-015-SSA3-2012, Para la Atención Integral a Personas con Discapacidad",5.4,No aplica
29,Credencial de elector usuarios mayores de edad y padres de usuarios menores de edad.,Federal,Norma,"Norma Oficial Mexicana NOM-015-SSA3-2012, Para la Atención Integral a Personas con Discapacidad",5.4,No aplica
30,Expediente médico.,Federal,Norma,"Norma Oficial Mexicana NOM-015-SSA3-2012, Para la Atención Integral a Personas con Discapacidad",5.4,No aplica
31,"Solicitud por escrito en físico o electrónico que contenga:
 Nombre Institución o grupo de personas a donde se llevará el curso
 Nombre de contacto
 Domicilio
 Teléfono y correo electrónico.",No disponible,No aplica,No aplica,No aplica,No aplica
32,Cartilla de vacunación en menores de 15 años.,Federal,Reglamento,Reglamento de la Ley General de Salud en Materia de Protección Social en Salud,30,No aplica
33,Acta de nacimiento.,Federal,Norma,"Norma Oficial Mexicana NOM-015-SSA3-2012, Para la Atención Integral a Personas con Discapacidad",5.4,No aplica
34,Comprobante de domicilio no mayor a dos meses de antigüedad.,Federal,Norma,"Norma Oficial Mexicana NOM-015-SSA3-2012, Para la Atención Integral a Personas con Discapacidad",5.4,No aplica
35,Credencial de elector usuarios mayores de edad y padres de usuarios menores de edad.,Federal,Norma,"Norma Oficial Mexicana NOM-015-SSA3-2012, Para la Atención Integral a Personas con Discapacidad",5.4,No aplica
36,Expediente médico.,Federal,Norma,"Norma Oficial Mexicana NOM-015-SSA3-2012, Para la Atención Integral a Personas con Discapacidad",5.4,No aplica
37,Evaluación de habilidades.,Federal,Norma,"Norma Oficial Mexicana NOM-015-SSA3-2012, Para la Atención Integral a Personas con Discapacidad",5.3.3,No aplica
38,Comprobante de domicilio del municipio de Monterrey del mes en curso.,Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
39,Credencial de elector o carta de Delegado Municipal de Monterrey.,Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
40,Diagnóstico médico (En caso de solicitar algún apoyo funcional o apoyo de pañales).,Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
41,Orden de estudios (En caso de solicitar apoyo para estudios médicos).,Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
42,Orden de salida de cuerpo (En caso de solicitar apoyo para funeral o panteón).,Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
43,"Receta médica de una Institución de Salud Pública, que incluya la cédula profesional del médico que la expide (En caso de solicitar algún apoyo a la salud).",Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
44,Comprobante de domicilio del municipio de Monterrey del mes en curso.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,137,No aplica
45,Credencial de elector o carta de Delegado Municipal de Monterrey.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,137,No aplica
46,Credencial de elector o carta del Delegado Municipal.,Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
47,Fotografía tamaño infantil.,Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
48,Comprobante de domicilio.,Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
49,Identificación oficial con fotografía.,Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
50,"Identificación oficial con fotografía de la persona interesada y si es menor de edad de su madre, padre o tutor.",Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
51,Formato de solicitud de servicio.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,138,l y lll
52,"6 Fotografías impresas en hojas de papel (carta/oficio) de las instalaciones (interior y exterior del inmueble), donde esté visible el nombre o razón social que ostenta, así como de las actividades que realizan.",Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,135,No aplica
53,"Acta Constitutiva de la Asociación Civil o de Beneficencia, con todas sus modificaciones.",Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,135,No aplica
54,"Carta de solicitud (redacción libre) por parte del representante legal de la Asociación, dirigida a la persona titular de la Dirección General del Sistema para el Desarrollo Integral de la Familia de Monterrey, señalando el objeto de la Asociación, así como el tiempo que lleva realizando su labor de asistencia social (Original).",Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,135,No aplica
55,Credencial de elector del representante legal de la Asociación.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,135,No aplica
56,Documentación que acredite a la persona física como representante legal de la Asociac.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,135,No aplica
57,Documento que acredite el domicilio de la asociación Puede ser un recibo de CFE o Agua y Drenaje.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,135,No aplica
58,Registro Federal de Contribuyentes de la Asociación.,Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,135,No aplica
59,"Tres cartas de personas beneficiarias de la asociación que residan en la ciudad de Monterrey, donde se constate que han recibido algún apoyo de manera gratuita, que incluya el nombre completo, domicilio, teléfono y copia de la credencial de elector.",Municipal,Reglamento,Reglamento de la Administración Pública Municipal de Monterrey,135,No aplica
60,Exámenes médicos con vigencia de 15 días después de realizados.,Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,No aplica
61,"Acta de nacimiento de la niña, niño o adolescente.",Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
62,"Comprobante de domicilio agua, luz o gas con no más de 3 meses de expedición.",Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
63,Comprobante de pago de nómina últimos 2 recibos.,Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
64,"Credencial de elector de cada madre, padre y /o tutor y personas autorizadas.",Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
65,Fotografías tamaño infantil de cada persona autorizada.,Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
66,"Fotografías tamaño infantil de la madre, padre y/o tutor.",Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
67,"Fotografías tamaño infantil de la niña, niño o adolescente.",Estatal,Ley,Ley de Fiscalización Superior del Estado de Nuevo León,17,No aplica
68,"Cartilla de vacunación de la niña, niño o adolescente.",Federal,Reglamento,Reglamento de la Ley General de Salud en Materia de Protección Social en Salud,30,No aplica
69,"Carta de trabajo (de la madre, padre o tutor), con los siguientes datos:
 Sueldo mensual
 Horario de trabajo
 Días de descanso
 Periodo vacacional
 Dirección, teléfono y departamento
 Nombre y firma del jefe inmediato.",Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,Registro e información
70,"Copia de comprobante de domicilio (agua, luz o gas) no más de 3 meses de expedición.",Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,Registro e información
71,"Copia de credencial de elector de la madre, padre, tutor y personas autorizadas.",Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,Registro e información
72,Copia del acta de nacimiento actualizada de niña(o).,Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,Registro e información
73,Exámenes médicos.,Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,Registro e información
74,Fotografías tamaño infantil de cada persona autorizada.,Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,Registro e información
75,"Fotografías tamaño infantil de la madre, del padre o tutor.",Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,Registro e información
76,Fotografías tamaño infantil de niña(o).,Federal,Norma,"Norma Oficial Mexicana NOM-032-SSA3-2010, Asistencia social. Prestación de servicios de asistencia social para niños, niñas y adolescentes en situación de riesgo y vulnerabilidad.",8,Registro e información
77,Copia de la cartilla de vacunación.,Federal,Reglamento,Reglamento de la Ley General de Salud en Materia de Protección Social en Salud,30,No aplica
78,Copia de acta de nacimiento.,Municipal,Reglamento,Reglamento Orgánico del Instituto de la Juventud Regia de la Ciudad de Monterrey.,No disponible,No aplica
79,Copia de comprobante de domicilio.,Municipal,Reglamento,Reglamento Orgánico del Instituto de la Juventud Regia de la Ciudad de Monterrey.,No disponible,No aplica
80,Copia de comprobante de domicilio.,Municipal,Reglamento,Reglamento Orgánico del Instituto de la Juventud Regia de la Ciudad de Monterrey.,No disponible,No aplica
81,"Mayor de Edad:
 Copia de identificación oficial.",Municipal,Reglamento,Reglamento Orgánico del Instituto de la Juventud Regia de la Ciudad de Monterrey.,No disponible,No aplica
82,"Menor de Edad:
 Copia de identificación del padre o madre (Indistinto).",Municipal,Reglamento,Reglamento Orgánico del Instituto de la Juventud Regia de la Ciudad de Monterrey.,No disponible,No aplica
83,Acta de nacimiento del solicitante (Cuando es menor de edad).,Municipal,Reglamento,Reglamento Orgánico del Instituto de la Juventud Regia de la Ciudad de Monterrey.,3,No aplica
84,Comprobante de domicilio.,Municipal,Reglamento,Reglamento Orgánico del Instituto de la Juventud Regia de la Ciudad de Monterrey.,3,No aplica
85,Identificación Oficial del solicitante (Cuando es mayor de edad).,Municipal,Reglamento,Reglamento Orgánico del Instituto de la Juventud Regia de la Ciudad de Monterrey.,3,No aplica
86,"Oficio dirigido al Director del Instituto Municipal de Planeación Urbana y Convivencia, mencionando el número de expediente catastral del lote o lotes que requiera la información.",Municipal,Reglamento,"Reglamento Orgánico del Instituto Municipal de Planeación Urbana y Convivencia de Monterrey, Nuevo León.",8,VI
87,Acta constitutiva o poder (en caso de representar a una persona moral).,Estatal,Ley,Ley de Responsabilidad Patrimonial del Estado y Municipios de Nuevo León,24,II
88,Carta poder en original (en caso de representar al reclamante).,Estatal,Ley,Ley de Responsabilidad Patrimonial del Estado y Municipios de Nuevo León,24,II
89,Identificación oficial.,Estatal,Ley,Ley de Responsabilidad Patrimonial del Estado y Municipios de Nuevo León,24,II
90,Factura del costo del daño o factura deducible o su equivalente (tres cotizaciones).,Estatal,Ley,Ley de Responsabilidad Patrimonial del Estado y Municipios de Nuevo León,24,VI
91,Factura del vehículo o carta factura.,Estatal,Ley,Ley de Responsabilidad Patrimonial del Estado y Municipios de Nuevo León,24,VI
92,Parte vial.,Estatal,Ley,Ley de Responsabilidad Patrimonial del Estado y Municipios de Nuevo León,24,VI
93,Póliza de seguro vigente al momento del siniestro.,Estatal,Ley,Ley de Responsabilidad Patrimonial del Estado y Municipios de Nuevo León,24,VI
94,Tarjeta de circulación.,Estatal,Ley,Ley de Responsabilidad Patrimonial del Estado y Municipios de Nuevo León,24,VI
95,Fotografías.,Estatal,Ley,Ley de Responsabilidad Patrimonial del Estado y Municipios de Nuevo León,24,VII
96,Escrito de reclamación.,Estatal,Ley,Ley de Responsabilidad Patrimonial del Estado y Municipios de Nuevo León,24,No aplica
97,"Escrito con la siguiente información: 
 Nombre
 Domicilio
 Teléfono y correo electrónico
 Ubicación exacta del comercio informal.",No disponible,No aplica,No aplica,No aplica,No aplica
98,El visto bueno de la Secretaría de Seguridad y Protección a la Ciudadanía que haga constar que no se afecta el libre tránsito;.,Municipal,Reglamento,"Reglamento para el Uso de la Vía Pública en el Ejercicio de la Actividad Comercial en Monterrey, Nuevo León.",27,IX
99,Formato de solicitud.,Municipal,Reglamento,"Reglamento para el Uso de la Vía Pública en el Ejercicio de la Actividad Comercial en Monterrey, Nuevo León.",27,ll
100,Copia certificada de la credencial para votar con fotografía del solicitante ó documento oficial con fotografía que acredite la mayoría de edad;.,Municipal,Reglamento,"Reglamento para el Uso de la Vía Pública en el Ejercicio de la Actividad Comercial en Monterrey, Nuevo León.",27,lll
101,Constancia de no adeudos municipales;.,Municipal,Reglamento,"Reglamento para el Uso de la Vía Pública en el Ejercicio de la Actividad Comercial en Monterrey, Nuevo León.",27,V
102,"Autorización o certificado de la autoridad estatal de salud en el caso que así lo amerite, como lo prevé la Ley Estatal de Salud;.",Municipal,Reglamento,"Reglamento para el Uso de la Vía Pública en el Ejercicio de la Actividad Comercial en Monterrey, Nuevo León.",27,VI
103,"Anuencia de vecinos más próximos a la ubicación solicitada, la cual contendrá el nombre, domicilio y teléfono de quienes otorgan la misma;.",Municipal,Reglamento,"Reglamento para el Uso de la Vía Pública en el Ejercicio de la Actividad Comercial en Monterrey, Nuevo León.",27,VII
104,"El visto bueno de Protección Civil Municipal tratándose de comercio en puesto fijo, comercio en puesto semifijo, mercado rodante y oferente itinerantes;.",Municipal,Reglamento,"Reglamento para el Uso de la Vía Pública en el Ejercicio de la Actividad Comercial en Monterrey, Nuevo León.",27,VIII
105,"Tratándose de puestos que utilicen gas como combustible, constancia original de haber asistido a curso de control y combate de incendios impartido por la Dirección de Protección Civil, mismo que tendrá validez en cualquier actividad comercial realizada en el municipio de Monterrey.",Municipal,Reglamento,"Reglamento para el Uso de la Vía Pública en el Ejercicio de la Actividad Comercial en Monterrey, Nuevo León.",27,X
106,"Escrito bajo protesta de decir verdad, de que la mercancía que se pretende comercializar no contraviene disposición alguna;.",Municipal,Reglamento,"Reglamento para el Uso de la Vía Pública en el Ejercicio de la Actividad Comercial en Monterrey, Nuevo León.",27,XI
107,"Garantizar probables daños o deterioros que se pudieren ocasionar en instalaciones, infraestructura, servicios públicos y demás bienes del Municipio por la actividad comercial en la vía pública.",Municipal,Reglamento,"Reglamento para el Uso de la Vía Pública en el Ejercicio de la Actividad Comercial en Monterrey, Nuevo León.",27,XII
108,3 fotografías a color tamaño credencial;.,Municipal,Reglamento,"Reglamento para el Uso de la Vía Pública en el Ejercicio de la Actividad Comercial en Monterrey, Nuevo León.",27,No aplica
109,"Comprobante de domicilio (luz, agua, teléfono fijo o gas) reciente a nombre del interesado.",Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
110,Fotografía del interesado (en caso de solicitar una carta de identidad).,Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
111,"Identificación oficial (INE, pasaporte, cartilla militar, licencia de conducir).",Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
112,"4 fotografías tamaño credencial, se requiere que sean en papel mate en color blanco y negro, con camisa o playera de color blanca, sin aretes, ni collares, sin barba, bigote recortado, sin patilla, sin retoques, ni liso);.",Federal,Reglamento,Reglamento de la Ley del Servicio Militar Nacional,181,V
113,Acta de nacimiento actualizada (NO mayor a 3 meses).,Federal,Reglamento,Reglamento de la Ley del Servicio Militar Nacional,181,V
114,"Certificado de último grado de estudios, (primaria, secundaria, preparatoria, técnica o profesional);.",Federal,Reglamento,Reglamento de la Ley del Servicio Militar Nacional,181,V
115,"Comprobante de domicilio (recibo de luz, agua, teléfono, gas o carta de juez);.",Federal,Reglamento,Reglamento de la Ley del Servicio Militar Nacional,181,V
116,CURP.,Federal,Reglamento,Reglamento de la Ley del Servicio Militar Nacional,181,V
117,"En caso de ser remiso y haber nacido en otro Estado o Municipio, deberá presentar Constancia de No Registro, expedida por la Junta Municipal de Reclutamiento que le corresponde.",Federal,Reglamento,Reglamento de la Ley del Servicio Militar Nacional,181,V
118,"Acta constitutiva o RFC (solo en caso de constancias de radicación de empresas, asociaciones y organizaciones que necesiten la certificación para alta en el SAT).",Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,12,No aplica
119,Acta de nacimiento.,Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,12,No aplica
120,Acta de nacimiento.,Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,12,No aplica
121,"Acta de nacimiento de cualquier otra persona que se mencione en el cuerpo de la carta (ejemplo; carta de identidad de menor, cartas de identidad de familiar finado, cartas de concubinato, cartas de hechos).",Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,12,No aplica
122,"Carta sellada y firmada por el Juez Auxiliar de su sección, la cual deber de contener la firma del interesado y de dos testigos no familiares que residan en distintos domicilios (firmas como en identificación oficial).",Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,12,No aplica
123,"Fotografía reciente (máximo 6 meses), tamaño infantil o credencial (no pegarla en la carta), no se aceptan copias fotostáticas, preferentemente en papal mate (solo necesaria en cartas de identidad).",Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,12,No aplica
124,"Comprobante de domicilio particular “uso doméstico”, a nombre del interesado, con vencimiento no mayor a 3 meses (recibo de agua, luz, gas, teléfono fijo o recibo pago predial).",Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
125,"Comprobante de Domicilio particular “uso doméstico”, a nombre del testigo, con vencimiento no mayor a 3 meses (recibo de agua, luz, gas, teléfono fijo o recibo pago predial).",Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
126,Identificación oficial.,Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
127,Identificación oficial de los testigos.,Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
128,Recibo del pago en ventanillas de la Dirección de Ingresos.,Municipal,Reglamento,Reglamentos de Jueces Auxiliares del Municipio de Monterrey,18,VI
129,"2 fotografías, tamaño pasaporte, impresas en papel mate, a color, con fondo blanco, de frente, con cara y orejas descubiertas, sin lentes, diademas, gorras y sin sonreír.",Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,14,No aplica
130,"2 fotografías, tamaño pasaporte, impresas en papel mate, a color, con fondo blanco, de frente, con cara y orejas descubiertas, sin lentes, diademas, gorras y sin sonreír.",Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,14,No aplica
131,"2 fotografías, tamaño pasaporte, impresas en papel mate, a color, con fondo blanco, de frente, con cara y orejas descubiertas, sin lentes, diademas, gorras y sin sonreír.",Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,14,No aplica
132,"2 fotografías, tamaño pasaporte, impresas en papel mate, a color, con fondo blanco, de frente, con cara y orejas descubiertas, sin lentes, diademas, gorras y sin sonreír.",Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,14,No aplica
133,CURP.,Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,14,No aplica
134,CURP.,Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,14,No aplica
135,CURP.,Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,14,No aplica
136,CURP actualizado;.,Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,14,No aplica
137,"identificación vigente de ambos padres, puede ser presentada cualquiera de la siguientes:
 INE/IFE;
 Cartilla Militar Liberada (sexo masculino);
 Cedula Profesional;
 Título profesional;
 IMMS (credencial con foto);
 INAPAM (credencial con foto;
 Pasaporte;
 OP7 (se solicita en la página de la SRE);
 Acta de Defunción si el caso.",Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,14,No aplica
138,"En caso de cambio de firma se presentarán los siguientes documentos:
 INE/IFE;
 Cartilla Militar Liberada (sexo masculino);
 Cedula Profesional;
 Título profesional;
 IMMS (credencial con foto);
 INAPAM (credencial con foto);.",Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,14,No aplica
139,"Identificación vigente de ambos padres, puede ser presentada cualquiera de la siguientes:
 INE/IFE;
 Cartilla Militar Liberada (sexo masculino);
 Cedula Profesional;
 Título profesional;
 IMMS (credencial con foto);
 INAPAM (credencial con foto;
 Pasaporte;
 OP7 (se solicita en la página de la SRE);
 Acta de Defunción si el caso.",Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,14,No aplica
140,"Mayor de Edad Primera Vez:
Acreditar Identidad, con los siguientes documentos:
 INE/IFE;
 Cartilla Militar Liberada (sexo masculino);
 Cedula Profesional;
 Título profesional;
 IMMS (credencial con foto);
 INAPAM (credencial con foto);.",Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,14,No aplica
141,"Mayor de Edad Renovación
d) Pasaporte (no dañado);.",Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,14,No aplica
142,"Menor de Edad Primera Vez
d) Acreditar Nacionalidad Mexicana, con el siguiente documento:
 Acta de Nacimiento.",Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,14,No aplica
143,"Menor de Edad Renovación
Acta de Nacimiento.",Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,14,No aplica
144,"Menores de 0 a 6 años:
 Carta del Pediatra, con las siguientes especificaciones:
 Fotografía del menor al costado cancelada por el sello que el Pediatra pondrá;
 Nombre completo de los padres;
 Nombre completo del menor;
 Tiempo que tiene atendiéndola a la familia;
 Copia anexa de la Cedula Profesional y firma del Pediatra (en caso de haber cambiado la firma, se agregará copia de la credencial de elector del profesionista);
 El Pediatra no puede ser familiar directo del menor.",Federal,Reglamento,Reglamento de pasaportes y del documento de identidad y viaje,14,No aplica
